,Year,Month_numerical,US Population (millions),Total Energy consumption
1,1973.0,1.0,211.91,7.035593
2,1973.0,2.0,211.91,6.425059
3,1973.0,3.0,211.91,6.335827
4,1973.0,4.0,211.91,5.766584
5,1973.0,5.0,211.91,5.891644
6,1973.0,6.0,211.91,5.629696
7,1973.0,7.0,211.91,5.788246
8,1973.0,8.0,211.91,6.037194
9,1973.0,9.0,211.91,5.647806
10,1973.0,10.0,211.91,6.040785
11,1973.0,11.0,211.91,6.372539
12,1973.0,12.0,211.91,6.696827
13,1974.0,1.0,213.85,6.693908
14,1974.0,2.0,213.85,6.121223
15,1974.0,3.0,213.85,6.169999
16,1974.0,4.0,213.85,5.658402
17,1974.0,5.0,213.85,5.660942
18,1974.0,6.0,213.85,5.448383
19,1974.0,7.0,213.85,5.793865
20,1974.0,8.0,213.85,5.83992
21,1974.0,9.0,213.85,5.554628
22,1974.0,10.0,213.85,6.034949
23,1974.0,11.0,213.85,6.080422
24,1974.0,12.0,213.85,6.673384
25,1975.0,1.0,215.97,6.875888
26,1975.0,2.0,215.97,5.997106
27,1975.0,3.0,215.97,6.182584
28,1975.0,4.0,215.97,5.606491
29,1975.0,5.0,215.97,5.292286
30,1975.0,6.0,215.97,5.240069
31,1975.0,7.0,215.97,5.485057
32,1975.0,8.0,215.97,5.580608
33,1975.0,9.0,215.97,5.349635
34,1975.0,10.0,215.97,5.744615
35,1975.0,11.0,215.97,5.673916
36,1975.0,12.0,215.97,6.739114
37,1976.0,1.0,218.04,7.124133
38,1976.0,2.0,218.04,6.216326
39,1976.0,3.0,218.04,6.199908
40,1976.0,4.0,218.04,5.680736
41,1976.0,5.0,218.04,5.609188
42,1976.0,6.0,218.04,5.640175
43,1976.0,7.0,218.04,5.836752
44,1976.0,8.0,218.04,5.798443
45,1976.0,9.0,218.04,5.591791
46,1976.0,10.0,218.04,6.091742
47,1976.0,11.0,218.04,6.5861
48,1976.0,12.0,218.04,7.511395
49,1977.0,1.0,220.24,7.69779
50,1977.0,2.0,220.24,6.5405
51,1977.0,3.0,220.24,6.42563
52,1977.0,4.0,220.24,5.839722
53,1977.0,5.0,220.24,5.85731
54,1977.0,6.0,220.24,5.956273
55,1977.0,7.0,220.24,6.068933
56,1977.0,8.0,220.24,6.174566
57,1977.0,9.0,220.24,5.956238
58,1977.0,10.0,220.24,6.14273
59,1977.0,11.0,220.24,6.332906
60,1977.0,12.0,220.24,7.272906
61,1978.0,1.0,222.58,7.537461
62,1978.0,2.0,222.58,6.889283
63,1978.0,3.0,222.58,6.785189
64,1978.0,4.0,222.58,5.985304
65,1978.0,5.0,222.58,6.129084
66,1978.0,6.0,222.58,5.966446
67,1978.0,7.0,222.58,6.161068
68,1978.0,8.0,222.58,6.332599
69,1978.0,9.0,222.58,5.931226
70,1978.0,10.0,222.58,6.281179
71,1978.0,11.0,222.58,6.538072
72,1978.0,12.0,222.58,7.311494
73,1979.0,1.0,225.06,7.908517
74,1979.0,2.0,225.06,7.253772
75,1979.0,3.0,225.06,6.960214
76,1979.0,4.0,225.06,6.101312
77,1979.0,5.0,225.06,6.135398
78,1979.0,6.0,225.06,5.959802
79,1979.0,7.0,225.06,6.108524
80,1979.0,8.0,225.06,6.335315
81,1979.0,9.0,225.06,5.91177
82,1979.0,10.0,225.06,6.393285
83,1979.0,11.0,225.06,6.513917
84,1979.0,12.0,225.06,7.169267
85,1980.0,1.0,227.72,7.378246
86,1980.0,2.0,227.72,6.964384
87,1980.0,3.0,227.72,6.841656
88,1980.0,4.0,227.72,5.968288
89,1980.0,5.0,227.72,5.794549
90,1980.0,6.0,227.72,5.668476
91,1980.0,7.0,227.72,5.953606
92,1980.0,8.0,227.72,5.910025
93,1980.0,9.0,227.72,5.831083
94,1980.0,10.0,227.72,6.181037
95,1980.0,11.0,227.72,6.275423
96,1980.0,12.0,227.72,7.197332
97,1981.0,1.0,229.47,7.466722
98,1981.0,2.0,229.47,6.322371
99,1981.0,3.0,229.47,6.446225
100,1981.0,4.0,229.47,5.71463
101,1981.0,5.0,229.47,5.754792
102,1981.0,6.0,229.47,5.795246
103,1981.0,7.0,229.47,6.016321
104,1981.0,8.0,229.47,5.945935
105,1981.0,9.0,229.47,5.68093
106,1981.0,10.0,229.47,6.002161
107,1981.0,11.0,229.47,5.990877
108,1981.0,12.0,229.47,6.906103
109,1982.0,1.0,231.66,7.245339
110,1982.0,2.0,231.66,6.271544
111,1982.0,3.0,231.66,6.322815
112,1982.0,4.0,231.66,5.833335
113,1982.0,5.0,231.66,5.393221
114,1982.0,6.0,231.66,5.366766
115,1982.0,7.0,231.66,5.632168
116,1982.0,8.0,231.66,5.634572
117,1982.0,9.0,231.66,5.393767
118,1982.0,10.0,231.66,5.571235
119,1982.0,11.0,231.66,5.799156
120,1982.0,12.0,231.66,6.248929
121,1983.0,1.0,233.79,6.684895
122,1983.0,2.0,233.79,5.853171
123,1983.0,3.0,233.79,6.202155
124,1983.0,4.0,233.79,5.642445
125,1983.0,5.0,233.79,5.458768
126,1983.0,6.0,233.79,5.445502
127,1983.0,7.0,233.79,5.725304
128,1983.0,8.0,233.79,5.927159
129,1983.0,9.0,233.79,5.5272
130,1983.0,10.0,233.79,5.535752
131,1983.0,11.0,233.79,5.743822
132,1983.0,12.0,233.79,6.622414
133,1984.0,1.0,235.82,7.428983
134,1984.0,2.0,235.82,6.411771
135,1984.0,3.0,235.82,6.628579
136,1984.0,4.0,235.82,6.04324
137,1984.0,5.0,235.82,5.92978
138,1984.0,6.0,235.82,5.807525
139,1984.0,7.0,235.82,5.943928
140,1984.0,8.0,235.82,6.124632
141,1984.0,9.0,235.82,5.595829
142,1984.0,10.0,235.82,5.794244
143,1984.0,11.0,235.82,5.926975
144,1984.0,12.0,235.82,6.467
145,1985.0,1.0,237.92,7.166194
146,1985.0,2.0,237.92,6.683387
147,1985.0,3.0,237.92,6.384196
148,1985.0,4.0,237.92,5.917704
149,1985.0,5.0,237.92,5.800876
150,1985.0,6.0,237.92,5.693456
151,1985.0,7.0,237.92,6.015755
152,1985.0,8.0,237.92,6.09367
153,1985.0,9.0,237.92,5.607525
154,1985.0,10.0,237.92,5.86703
155,1985.0,11.0,237.92,5.878738
156,1985.0,12.0,237.92,7.020905
157,1986.0,1.0,240.13,7.223744
158,1986.0,2.0,240.13,6.439994
159,1986.0,3.0,240.13,6.559272
160,1986.0,4.0,240.13,5.900037
161,1986.0,5.0,240.13,5.89025
162,1986.0,6.0,240.13,5.813618
163,1986.0,7.0,240.13,6.166091
164,1986.0,8.0,240.13,6.053397
165,1986.0,9.0,240.13,5.651556
166,1986.0,10.0,240.13,5.872627
167,1986.0,11.0,240.13,5.940393
168,1986.0,12.0,240.13,6.825529
169,1987.0,1.0,242.29,7.272675
170,1987.0,2.0,242.29,6.558076
171,1987.0,3.0,242.29,6.580867
172,1987.0,4.0,242.29,6.135984
173,1987.0,5.0,242.29,6.008855
174,1987.0,6.0,242.29,6.111349
175,1987.0,7.0,242.29,6.460619
176,1987.0,8.0,242.29,6.361769
177,1987.0,9.0,242.29,5.977631
178,1987.0,10.0,242.29,6.218046
179,1987.0,11.0,242.29,6.206361
180,1987.0,12.0,242.29,7.111384
181,1988.0,1.0,244.5,7.628966
182,1988.0,2.0,244.5,7.157939
183,1988.0,3.0,244.5,7.142928
184,1988.0,4.0,244.5,6.30141
185,1988.0,5.0,244.5,6.228715
186,1988.0,6.0,244.5,6.36057
187,1988.0,7.0,244.5,6.609219
188,1988.0,8.0,244.5,6.854127
189,1988.0,9.0,244.5,6.212794
190,1988.0,10.0,244.5,6.467269
191,1988.0,11.0,244.5,6.563336
192,1988.0,12.0,244.5,7.390261
193,1989.0,1.0,246.82,7.473193
194,1989.0,2.0,246.82,7.079481
195,1989.0,3.0,246.82,7.364484
196,1989.0,4.0,246.82,6.473509
197,1989.0,5.0,246.82,6.418933
198,1989.0,6.0,246.82,6.492024
199,1989.0,7.0,246.82,6.675335
200,1989.0,8.0,246.82,6.867493
201,1989.0,9.0,246.82,6.331488
202,1989.0,10.0,246.82,6.636172
203,1989.0,11.0,246.82,6.78177
204,1989.0,12.0,246.82,8.080944
205,1990.0,1.0,249.62,7.62843
206,1990.0,2.0,249.62,6.820288
207,1990.0,3.0,249.62,7.09501
208,1990.0,4.0,249.62,6.573022
209,1990.0,5.0,249.62,6.539204
210,1990.0,6.0,249.62,6.542776
211,1990.0,7.0,249.62,6.845232
212,1990.0,8.0,249.62,7.111538
213,1990.0,9.0,249.62,6.475856
214,1990.0,10.0,249.62,6.654618
215,1990.0,11.0,249.62,6.610582
216,1990.0,12.0,249.62,7.352078
217,1991.0,1.0,252.98,7.871531
218,1991.0,2.0,252.98,6.687182
219,1991.0,3.0,252.98,6.933723
220,1991.0,4.0,252.98,6.332394
221,1991.0,5.0,252.98,6.428769
222,1991.0,6.0,252.98,6.494153
223,1991.0,7.0,252.98,6.901333
224,1991.0,8.0,252.98,6.932511
225,1991.0,9.0,252.98,6.503689
226,1991.0,10.0,252.98,6.707712
227,1991.0,11.0,252.98,6.850985
228,1991.0,12.0,252.98,7.504163
229,1992.0,1.0,256.51,7.807872
230,1992.0,2.0,256.51,7.093056
231,1992.0,3.0,256.51,7.172742
232,1992.0,4.0,256.51,6.682497
233,1992.0,5.0,256.51,6.518955
234,1992.0,6.0,256.51,6.535044
235,1992.0,7.0,256.51,6.996245
236,1992.0,8.0,256.51,6.877299
237,1992.0,9.0,256.51,6.539881
238,1992.0,10.0,256.51,6.760294
239,1992.0,11.0,256.51,6.916617
240,1992.0,12.0,256.51,7.850113
241,1993.0,1.0,259.92,7.707906
242,1993.0,2.0,259.92,7.257578
243,1993.0,3.0,259.92,7.621216
244,1993.0,4.0,259.92,6.700751
245,1993.0,5.0,259.92,6.418513
246,1993.0,6.0,259.92,6.637323
247,1993.0,7.0,259.92,7.117442
248,1993.0,8.0,259.92,7.16655
249,1993.0,9.0,259.92,6.66838
250,1993.0,10.0,259.92,6.834794
251,1993.0,11.0,259.92,7.126641
252,1993.0,12.0,259.92,7.840571
253,1994.0,1.0,263.13,8.415828
254,1994.0,2.0,263.13,7.578292
255,1994.0,3.0,263.13,7.472072
256,1994.0,4.0,263.13,6.785239
257,1994.0,5.0,263.13,6.683584
258,1994.0,6.0,263.13,6.965773
259,1994.0,7.0,263.13,7.205017
260,1994.0,8.0,263.13,7.307053
261,1994.0,9.0,263.13,6.743477
262,1994.0,10.0,263.13,6.925684
263,1994.0,11.0,263.13,6.99113
264,1994.0,12.0,263.13,7.827774
265,1995.0,1.0,266.28,8.029829
266,1995.0,2.0,266.28,7.405477
267,1995.0,3.0,266.28,7.525272
268,1995.0,4.0,266.28,6.918378
269,1995.0,5.0,266.28,6.938755
270,1995.0,6.0,266.28,7.00167
271,1995.0,7.0,266.28,7.41353
272,1995.0,8.0,266.28,7.719833
273,1995.0,9.0,266.28,6.975388
274,1995.0,10.0,266.28,7.040849
275,1995.0,11.0,266.28,7.376369
276,1995.0,12.0,266.28,8.190073
277,1996.0,1.0,269.39,8.547963
278,1996.0,2.0,269.39,7.866347
279,1996.0,3.0,269.39,7.938043
280,1996.0,4.0,269.39,7.121148
281,1996.0,5.0,269.39,7.214119
282,1996.0,6.0,269.39,7.201472
283,1996.0,7.0,269.39,7.52757
284,1996.0,8.0,269.39,7.656165
285,1996.0,9.0,269.39,6.969271
286,1996.0,10.0,269.39,7.437969
287,1996.0,11.0,269.39,7.611143
288,1996.0,12.0,269.39,8.176611
289,1997.0,1.0,272.65,8.582446
290,1997.0,2.0,272.65,7.55907
291,1997.0,3.0,272.65,7.729236
292,1997.0,4.0,272.65,7.283306
293,1997.0,5.0,272.65,7.22469
294,1997.0,6.0,272.65,7.210243
295,1997.0,7.0,272.65,7.848485
296,1997.0,8.0,272.65,7.699937
297,1997.0,9.0,272.65,7.232794
298,1997.0,10.0,272.65,7.490498
299,1997.0,11.0,272.65,7.570205
300,1997.0,12.0,272.65,8.41043
301,1998.0,1.0,275.85,8.39684
302,1998.0,2.0,275.85,7.428894
303,1998.0,3.0,275.85,7.937353
304,1998.0,4.0,275.85,7.300025
305,1998.0,5.0,275.85,7.335224
306,1998.0,6.0,275.85,7.478011
307,1998.0,7.0,275.85,8.057142
308,1998.0,8.0,275.85,8.027821
309,1998.0,9.0,275.85,7.452027
310,1998.0,10.0,275.85,7.463228
311,1998.0,11.0,275.85,7.356425
312,1998.0,12.0,275.85,8.281512
313,1999.0,1.0,279.04,8.696628
314,1999.0,2.0,279.04,7.601023
315,1999.0,3.0,279.04,8.136713
316,1999.0,4.0,279.04,7.45069
317,1999.0,5.0,279.04,7.404727
318,1999.0,6.0,279.04,7.576802
319,1999.0,7.0,279.04,8.144983
320,1999.0,8.0,279.04,8.180102
321,1999.0,9.0,279.04,7.443627
322,1999.0,10.0,279.04,7.554482
323,1999.0,11.0,279.04,7.46604
324,1999.0,12.0,279.04,8.478233
325,2000.0,1.0,282.16,8.750396
326,2000.0,2.0,282.16,8.225147
327,2000.0,3.0,282.16,8.092256
328,2000.0,4.0,282.16,7.456743
329,2000.0,5.0,282.16,7.818237
330,2000.0,6.0,282.16,7.810411
331,2000.0,7.0,282.16,8.040235
332,2000.0,8.0,282.16,8.366629
333,2000.0,9.0,282.16,7.550649
334,2000.0,10.0,282.16,7.627807
335,2000.0,11.0,282.16,7.788639
336,2000.0,12.0,282.16,9.052553
337,2001.0,1.0,282.16,9.080868
338,2001.0,2.0,282.16,7.939413
339,2001.0,3.0,282.16,8.313376
340,2001.0,4.0,282.16,7.492634
341,2001.0,5.0,282.16,7.474078
342,2001.0,6.0,282.16,7.487968
343,2001.0,7.0,282.16,7.99795
344,2001.0,8.0,282.16,8.150744
345,2001.0,9.0,282.16,7.281055
346,2001.0,10.0,282.16,7.596188
347,2001.0,11.0,282.16,7.421813
348,2001.0,12.0,282.16,8.104475
349,2002.0,1.0,282.16,8.622596
350,2002.0,2.0,282.16,7.700808
351,2002.0,3.0,282.16,8.19745
352,2002.0,4.0,282.16,7.573964
353,2002.0,5.0,282.16,7.602016
354,2002.0,6.0,282.16,7.676961
355,2002.0,7.0,282.16,8.226085
356,2002.0,8.0,282.16,8.176787
357,2002.0,9.0,282.16,7.525786
358,2002.0,10.0,282.16,7.667331
359,2002.0,11.0,282.16,7.863765
360,2002.0,12.0,282.16,8.670291
361,2003.0,1.0,282.16,9.07766
362,2003.0,2.0,282.16,8.282551
363,2003.0,3.0,282.16,8.203617
364,2003.0,4.0,282.16,7.483491
365,2003.0,5.0,282.16,7.450029
366,2003.0,6.0,282.16,7.433308
367,2003.0,7.0,282.16,8.082599
368,2003.0,8.0,282.16,8.215372
369,2003.0,9.0,282.16,7.468482
370,2003.0,10.0,282.16,7.647884
371,2003.0,11.0,282.16,7.691518
372,2003.0,12.0,282.16,8.74808
373,2004.0,1.0,282.16,9.182765
374,2004.0,2.0,282.16,8.581161
375,2004.0,3.0,282.16,8.265582
376,2004.0,4.0,282.16,7.638968
377,2004.0,5.0,282.16,7.78717
378,2004.0,6.0,282.16,7.795265
379,2004.0,7.0,282.16,8.225617
380,2004.0,8.0,282.16,8.184101
381,2004.0,9.0,282.16,7.675994
382,2004.0,10.0,282.16,7.803756
383,2004.0,11.0,282.16,7.892659
384,2004.0,12.0,282.16,8.961532
385,2005.0,1.0,282.16,9.10661
386,2005.0,2.0,282.16,8.121647
387,2005.0,3.0,282.16,8.548385
388,2005.0,4.0,282.16,7.53697
389,2005.0,5.0,282.16,7.733551
390,2005.0,6.0,282.16,7.96934
391,2005.0,7.0,282.16,8.381741
392,2005.0,8.0,282.16,8.51725
393,2005.0,9.0,282.16,7.650245
394,2005.0,10.0,282.16,7.639518
395,2005.0,11.0,282.16,7.786163
396,2005.0,12.0,282.16,9.024962
397,2006.0,1.0,282.16,8.607947
398,2006.0,2.0,282.16,8.003855
399,2006.0,3.0,282.16,8.394336
400,2006.0,4.0,282.16,7.494478
401,2006.0,5.0,282.16,7.726773
402,2006.0,6.0,282.16,7.925623
403,2006.0,7.0,282.16,8.434424
404,2006.0,8.0,282.16,8.559324
405,2006.0,9.0,282.16,7.652976
406,2006.0,10.0,282.16,7.882787
407,2006.0,11.0,282.16,7.869083
408,2006.0,12.0,282.16,8.62049
409,2007.0,1.0,282.16,9.018122
410,2007.0,2.0,282.16,8.596993
411,2007.0,3.0,282.16,8.364373
412,2007.0,4.0,282.16,7.722882
413,2007.0,5.0,282.16,7.805501
414,2007.0,6.0,282.16,7.905826
415,2007.0,7.0,282.16,8.301805
416,2007.0,8.0,282.16,8.644915
417,2007.0,9.0,282.16,7.806223
418,2007.0,10.0,282.16,7.831132
419,2007.0,11.0,282.16,7.935668
420,2007.0,12.0,282.16,8.925042
421,2008.0,1.0,282.16,9.229474
422,2008.0,2.0,282.16,8.485783
423,2008.0,3.0,282.16,8.397429
424,2008.0,4.0,282.16,7.636717
425,2008.0,5.0,282.16,7.662685
426,2008.0,6.0,282.16,7.796471
427,2008.0,7.0,282.16,8.196984
428,2008.0,8.0,282.16,8.029544
429,2008.0,9.0,282.16,7.204846
430,2008.0,10.0,282.16,7.634786
431,2008.0,11.0,282.16,7.659165
432,2008.0,12.0,282.16,8.600859
433,2009.0,1.0,282.16,8.923789
434,2009.0,2.0,282.16,7.700123
435,2009.0,3.0,282.16,7.848074
436,2009.0,4.0,282.16,7.108018
437,2009.0,5.0,282.16,7.033959
438,2009.0,6.0,282.16,7.289535
439,2009.0,7.0,282.16,7.603996
440,2009.0,8.0,282.16,7.771194
441,2009.0,9.0,282.16,7.104145
442,2009.0,10.0,282.16,7.274601
443,2009.0,11.0,282.16,7.243212
444,2009.0,12.0,282.16,8.609598
445,2010.0,1.0,282.16,8.913158
446,2010.0,2.0,282.16,8.015671
447,2010.0,3.0,282.16,7.982029
448,2010.0,4.0,282.16,7.159644
449,2010.0,5.0,282.16,7.436233
450,2010.0,6.0,282.16,7.738369
451,2010.0,7.0,282.16,8.147669
452,2010.0,8.0,282.16,8.243549
453,2010.0,9.0,282.16,7.515531
454,2010.0,10.0,282.16,7.316054
455,2010.0,11.0,282.16,7.587881
456,2010.0,12.0,282.16,8.997385
457,2011.0,1.0,282.16,9.052559
458,2011.0,2.0,282.16,7.861503
459,2011.0,3.0,282.16,8.042505
460,2011.0,4.0,282.16,7.192597
461,2011.0,5.0,282.16,7.265072
462,2011.0,6.0,282.16,7.585503
463,2011.0,7.0,282.16,8.098377
464,2011.0,8.0,282.16,8.157593
465,2011.0,9.0,282.16,7.352253
466,2011.0,10.0,282.16,7.353744
467,2011.0,11.0,282.16,7.548202
468,2011.0,12.0,282.16,8.329451
469,2012.0,1.0,282.16,8.42055
470,2012.0,2.0,282.16,7.743221
471,2012.0,3.0,282.16,7.396851
472,2012.0,4.0,282.16,6.941264
473,2012.0,5.0,282.16,7.319105
474,2012.0,6.0,282.16,7.45894
475,2012.0,7.0,282.16,8.035303
476,2012.0,8.0,282.16,7.994532
477,2012.0,9.0,282.16,7.16963
478,2012.0,10.0,282.16,7.35978
479,2012.0,11.0,282.16,7.545937
480,2012.0,12.0,282.16,8.130954
481,2013.0,1.0,282.16,8.701823
482,2013.0,2.0,282.16,7.76838
483,2013.0,3.0,282.16,8.11883
484,2013.0,4.0,282.16,7.222854
485,2013.0,5.0,282.16,7.296122
486,2013.0,6.0,282.16,7.426194
487,2013.0,7.0,282.16,7.989219
488,2013.0,8.0,282.16,7.929931
489,2013.0,9.0,282.16,7.418915
490,2013.0,10.0,282.16,7.484411
491,2013.0,11.0,282.16,7.88263
492,2013.0,12.0,282.16,8.816417
493,2014.0,1.0,282.16,9.31421
494,2014.0,2.0,282.16,8.204543
495,2014.0,3.0,282.16,8.22704
496,2014.0,4.0,282.16,7.248043
497,2014.0,5.0,282.16,7.345649
498,2014.0,6.0,282.16,7.477364
499,2014.0,7.0,282.16,7.956298
500,2014.0,8.0,282.16,7.969489
501,2014.0,9.0,282.16,7.426022
502,2014.0,10.0,282.16,7.522193
503,2014.0,11.0,282.16,7.92636
504,2014.0,12.0,282.16,8.533215
505,2015.0,1.0,282.16,9.024922
506,2015.0,2.0,282.16,8.351733
507,2015.0,3.0,282.16,8.149218
508,2015.0,4.0,282.16,7.176846
509,2015.0,5.0,282.16,7.369803
510,2015.0,6.0,282.16,7.64315
511,2015.0,7.0,282.16,8.166951
512,2015.0,8.0,282.16,8.06366
513,2015.0,9.0,282.16,7.456713
514,2015.0,10.0,282.16,7.375588
515,2015.0,11.0,282.16,7.400039
516,2015.0,12.0,282.16,8.071652
517,2016.0,1.0,282.16,8.754131
518,2016.0,2.0,282.16,7.922737
519,2016.0,3.0,282.16,7.645794
520,2016.0,4.0,282.16,7.12532
521,2016.0,5.0,282.16,7.261295
522,2016.0,6.0,282.16,7.638227
523,2016.0,7.0,282.16,8.165203
524,2016.0,8.0,282.16,8.271297
525,2016.0,9.0,282.16,7.497602
526,2016.0,10.0,282.16,7.375096
527,2016.0,11.0,282.16,7.436918
528,2016.0,12.0,282.16,8.7618
529,2017.0,1.0,282.16,8.648828
530,2017.0,2.0,282.16,7.305789
531,2017.0,3.0,282.16,8.045967
532,2017.0,4.0,282.16,7.070075
533,2017.0,5.0,282.16,7.399985
534,2017.0,6.0,282.16,7.588898
535,2017.0,7.0,282.16,8.10061
536,2017.0,8.0,282.16,8.010397
537,2017.0,9.0,282.16,7.336888
538,2017.0,10.0,282.16,7.507107
539,2017.0,11.0,282.16,7.804048
540,2017.0,12.0,282.16,8.880905
541,2018.0,1.0,282.16,9.325726
542,2018.0,2.0,282.16,7.737851
543,2018.0,3.0,282.16,8.341563
544,2018.0,4.0,282.16,7.508448
545,2018.0,5.0,282.16,7.598083
546,2018.0,6.0,282.16,7.763135
547,2018.0,7.0,282.16,8.293765
548,2018.0,8.0,282.16,8.370644
549,2018.0,9.0,282.16,7.580743
550,2018.0,10.0,282.16,7.794485
551,2018.0,11.0,282.16,8.216142
552,2018.0,12.0,282.16,8.712513
553,2019.0,1.0,282.16,9.228418
554,2019.0,2.0,282.16,8.091186
555,2019.0,3.0,282.16,8.356814
556,2019.0,4.0,282.16,7.294279
557,2019.0,5.0,282.16,7.558206
558,2019.0,6.0,282.16,7.557015
559,2019.0,7.0,282.16,8.21922
560,2019.0,8.0,282.16,8.24737
561,2019.0,9.0,282.16,7.55585
562,2019.0,10.0,282.16,7.626602
563,2019.0,11.0,282.16,8.092303
564,2019.0,12.0,282.16,8.632886
565,2020.0,1.0,282.16,8.640567
566,2020.0,2.0,282.16,8.011487
567,2020.0,3.0,282.16,7.524558
568,2020.0,4.0,282.16,6.15228
569,2020.0,5.0,282.16,6.420724
570,2020.0,6.0,282.16,6.870082
571,2020.0,7.0,282.16,7.693952
572,2020.0,8.0,282.16,7.665047
573,2020.0,9.0,282.16,6.995612
574,2020.0,10.0,282.16,7.144541
575,2020.0,11.0,282.16,7.227684
576,2020.0,12.0,282.16,8.363723
577,2021.0,1.0,282.16,8.564369
578,2021.0,2.0,282.16,7.815855
579,2021.0,3.0,282.16,7.688725
580,2021.0,4.0,282.16,7.112322
581,2021.0,5.0,282.16,7.296691
582,2021.0,6.0,282.16,7.653085
583,2021.0,7.0,282.16,8.054393
584,2021.0,8.0,282.16,8.150628
585,2021.0,9.0,282.16,7.365213
586,2021.0,10.0,282.16,7.408088
587,2021.0,11.0,282.16,7.769154
588,2021.0,12.0,282.16,8.340178
589,2022.0,1.0,282.16,9.028429
590,2022.0,2.0,282.16,7.990995
591,2022.0,3.0,282.16,8.039497
592,2022.0,4.0,282.16,7.228034
593,2022.0,5.0,282.16,7.418844
594,2022.0,6.0,282.16,7.623428
595,2022.0,7.0,282.16,8.086107
596,2022.0,8.0,282.16,8.092098
597,2022.0,9.0,282.16,7.37436
598,2022.0,10.0,282.16,7.371431
599,2022.0,11.0,282.16,7.792774
600,2022.0,12.0,282.16,8.6253
601,2023.0,1.0,282.16,8.453346
602,2023.0,2.0,282.16,7.588881
603,2023.0,3.0,282.16,8.127997
604,2023.0,4.0,282.16,7.163804
605,2023.0,5.0,282.16,7.323955
606,2023.0,6.0,282.16,7.505206
607,2023.0,7.0,282.16,8.069604
608,2023.0,8.0,282.16,8.21539
609,2023.0,9.0,282.16,7.429253
610,2023.0,10.0,282.16,7.545329
611,2023.0,11.0,282.16,7.841109
612,2023.0,12.0,282.16,8.362503
613,2024.0,1.0,282.16,8.969076
614,2024.0,2.0,282.16,7.709328
615,2024.0,3.0,282.16,7.711286
616,2024.0,4.0,282.16,7.146585
617,2024.0,5.0,282.16,7.481842
618,2024.0,6.0,282.16,7.577125
619,2024.0,7.0,282.16,8.178228
620,2024.0,8.0,282.16,8.144876
621,2024.0,9.0,282.16,7.389581
